,country,year,country_en,party_id,party_abb,party,party_en,president,wave,lrecon,lrecon_blur,lrecon_dissent,lrecon_salience,galtan,galtan_blur,galtan_dissent,galtan_salience,lrgen,covid_ec,covid_ex,immigrate_policy,immigrate_salience,redistribution,redist_salience,environment,enviro_salience,spendvtax,spendvtax_salience,deregulation,deregulation_salience,sociallifestyle,sociallifestyle_salience,religious_principles,religious_principles_salience,protectionism,protectionism_salience,regions,regions_salience,crime,crime_salience,ethnic_minorities,ethnic_minorities_salience,int_org,int_org_salience,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,hor_accountability,hor_acc_salience,linkage_people,linkage_manichean,linkage_clientelism,linkage_charisma,patronage,partisanship,clientelism,programmatism
1,AR,2020,Argentina,5001,FT,Frente de Todos,Everybody's Front,0,1,3.38888888888889,3,4.4,7.33333333333333,3.88888888888889,3.5,4,6,3.55555555555556,9.29411764705882,7.25,3.25,2,2.77777777777778,7.17647058823529,6.5,2.07142857142857,3.07692307692308,6.58333333333333,2.61538461538462,6,2.92857142857143,6,4.07142857142857,4.64285714285714,7.33333333333333,7.35714285714286,5.81818181818182,5.4,4.13333333333333,4.92857142857143,5.2,2.27272727272727,4.53846153846154,4.23076923076923,3.41666666666667,5.6,2.5,7.86666666666667,6.71428571428571,5.25,3,2.78571428571429,1.69230769230769,7.73333333333333,7,7.21428571428571,6.71428571428571,6.64285714285714
2,AR,2020,Argentina,5002,JC,Juntos por el Cambio,Together for Change,0,1,7.27777777777778,4.125,3.1,7.5,6.33333333333333,5.25,6.11111111111111,5.16666666666667,7.16666666666667,4.55555555555556,3.25,6.91666666666667,3.07142857142857,7.05555555555556,4.64705882352941,7.77777777777778,1.61538461538462,6.15384615384615,5.36363636363636,7.30769230769231,7.61538461538461,5.57142857142857,5.21428571428571,5.35714285714286,4.21428571428571,2.53333333333333,7.21428571428571,5.2,5.1,6.73333333333333,7.28571428571429,6.5,2,3.92307692307692,4.91666666666667,1.66666666666667,2.92857142857143,7.28571428571429,8.26666666666667,4.35714285714286,6.5,7.42857142857143,3.35714285714286,5.23076923076923,6,5.41666666666667,4.07142857142857,5.28571428571429,7.35714285714286
3,AR,2020,Argentina,5003,CF,Consenso Federal,Federal Consensus,0,1,5.76470588235294,5.875,2.75,6.66666666666667,6.66666666666667,6.42857142857143,4.375,3.46666666666667,6.05882352941176,5.42857142857143,4.42857142857143,6.2,1.8,5.35714285714286,4.66666666666667,7.75,1.3,4.66666666666667,4.75,4.81818181818182,6,5.90909090909091,3.72727272727273,5.72727272727273,4.54545454545455,4.71428571428571,6.18181818181818,4.71428571428571,3.57142857142857,5.27272727272727,6.2,5.71428571428571,1.9,4.4,4.3,2.41666666666667,3.08333333333333,5.09090909090909,8.54545454545454,4.18181818181818,5.71428571428571,6.22222222222222,5.09090909090909,2.9,5.16666666666667,4.90909090909091,4.4,4.44444444444444,5.75
4,AR,2020,Argentina,5004,FI,Frente de Izquierda - Unidad,Left Front,0,1,1.22222222222222,0.625,2.11111111111111,7.76470588235294,2.64705882352941,3.375,1.57142857142857,5.6875,1.44444444444444,8.33333333333333,2.85714285714286,1.25,2.4,0.529411764705882,8.33333333333333,3.5,4.33333333333333,2,6.77777777777778,1.84615384615385,6.41666666666667,1.71428571428571,7.46153846153846,0.785714285714286,3.5,9.14285714285714,6.45454545454545,4.25,2.8,2.06666666666667,4.36363636363636,3,3.54545454545455,6.1,2.375,7.6,7.92307692307692,5.3,5.9,5.66666666666667,3.66666666666667,1.9,2.75,4,3.08333333333333,3.22222222222222,5.8,2.5,7.92857142857143
5,AR,2020,Argentina,5005,AF,Alberto Fernández,Alberto Fernández,1,1,4.22222222222222,4.125,NA,7.33333333333333,3.38888888888889,4.125,NA,5.76470588235294,4.16666666666667,9.27777777777778,7.5625,3.2,2.85714285714286,3.66666666666667,6.94444444444444,6.66666666666667,2.35714285714286,2.84615384615385,6.33333333333333,3.69230769230769,6.23076923076923,2.28571428571429,6.07142857142857,3.61538461538462,3.61538461538462,6.8,7,5.25,6.09090909090909,4.46666666666667,4.85714285714286,4.8,2.18181818181818,4.38461538461539,4.15384615384615,2.91666666666667,4.8,3.07142857142857,NA,6.28571428571429,5.25,4.83333333333333,4.28571428571429,2.15384615384615,5.92857142857143,6.08333333333333,6.38461538461539,5.92307692307692,6.14285714285714
6,BO,2020,Bolivia,5101,MAS,Movimiento al Socialismo,Movement for Socialism,0,1,2.75,1.25,4.25,8,6,5,5.66666666666667,6.28571428571429,2.5,5,1.6,4,2,2,6,6.6,5,2.6,6.4,2.4,4.5,4.4,4,3,5.66666666666667,6.5,6.83333333333333,5.16666666666667,5,3.2,4.6,1.6,8,8.4,6,7.4,9,6.8,4.75,8,7,1.6,1,4.25,8.6,7.5,9.2,7.5,8.4
7,BO,2020,Bolivia,5102,CC,Comunidad Ciudadana,Civic Community,0,1,5.375,3.25,4,7.16666666666667,3.875,5,4.33333333333333,6,5.125,5.75,3.75,4.33333333333333,2,5,5.16666666666667,4,4.6,5,6.4,5.2,6.25,2.6,6.4,4,5.83333333333333,4.66666666666667,5.33333333333333,3.5,7,4,5.2,4,6,3.6,6.66666666666667,5.4,2.66666666666667,8.8,8.25,1.25,6.33333333333333,8.2,7.6,7.66666666666667,5.75,3.33333333333333,3.4,5,4.75
8,BO,2020,Bolivia,5103,MDS,Movimiento Demócrata Social,Democrat Social Movement,0,1,8.5,2.25,2.33333333333333,6.16666666666667,7.5,0,3.6,5.83333333333333,7.5,4.25,6.5,6.33333333333333,2.33333333333333,7.66666666666667,5.5,7,3.6,7,5.25,7.5,5,7,5.4,7.66666666666667,8.33333333333333,5.5,6.16666666666667,1.8,8.25,7.25,8.25,7.75,3.75,2,7.66666666666667,4.6,1.25,7.25,8.66666666666667,7.75,5.33333333333333,7.6,1.4,4,7,9,6.25,8.5,6
9,BO,2020,Bolivia,5104,FUN,Frente de Unidad Nacional,Natinal Unity Front,0,1,6,4.25,3,7,6.14285714285714,NA,3.4,5,6.14285714285714,4,7,5.66666666666667,1.66666666666667,6.2,4.4,7.75,3.25,6.4,5.25,7.25,6.33333333333333,5.6,6.2,4.4,6,4.4,6.6,2.5,7,6,8,6.5,2.33333333333333,2,8.33333333333333,6.2,2.66666666666667,8.75,9.33333333333333,4.66666666666667,6.33333333333333,8.2,5.25,5.5,5.25,5.25,4.25,7.66666666666667,7.66666666666667
10,BO,2020,Bolivia,5105,CR,Creemos,We Believe/Create,0,1,9.125,5.5,2,5.66666666666667,9,0,3,6.28571428571429,8.875,3.5,6.66666666666667,7.66666666666667,1.66666666666667,8.33333333333333,5.16666666666667,7.6,3.2,7.6,4,8.25,6,9,5,9,9.33333333333333,5.5,6,1.6,8.4,8.5,6,8.25,2,1.66666666666667,9,5.6,1,7.5,9.33333333333333,6.66666666666667,5,7.6,0.5,4.25,8.25,9,4.66666666666667,8.5,6.5
